source,year_level,trade,month,topic,question_no,question_text,question_image,option_a,option_b,option_c,option_d,correct_option,answer_text
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,SAFTEY SYMBOLS AND HAZARDS,1,The flame symbol is used for:,,Explosive materials,Flammable substances,Toxic gases,Electrical hazards,B,Flammable substances
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,SAFTEY SYMBOLS AND HAZARDS,2,A lightning bolt symbol usually warns of:,,Heat hazard,Electrical hazard,Radiation,Slippery surface,B,Electrical hazard
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,SAFTEY SYMBOLS AND HAZARDS,3,The biohazard symbol is used for:,,Chemical spills,Infectious materials,Flammable liquids,Heavy machinery,B,Infectious materials
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,SAFTEY SYMBOLS AND HAZARDS,4,A gas cylinder symbol represents:,,Toxic gas,Compressed gas,Flammable gas only,Oxygen supply only,B,Compressed gas
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,PREVENTIVE MEASURES FOR ELECTRICAL ACCIDENTS,1,Why should overloaded circuits be avoided?,,They save electricity,They improve efficiency,They can cause overheating and fires,They reduce voltage,C,They can cause overheating and fires
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,PREVENTIVE MEASURES FOR ELECTRICAL ACCIDENTS,2,Why should electrical appliances be kept away from water?,,Water improves conductivity,Water reduces power,Water can cause electric shock,Water cools appliances,C,Water can cause electric shock
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,PREVENTIVE MEASURES FOR ELECTRICAL ACCIDENTS,3,What is the role of earthing in electrical safety?,,Increases voltage,Prevents electric shock,Saves electricity,Reduces resistance,B,Prevents electric shock
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,PREVENTIVE MEASURES FOR ELECTRICAL ACCIDENTS,4,What is the primary purpose of a fire extinguisher?,,To start a fire,To control or extinguish small fires,To increase heat,To produce smoke,B,To control or extinguish small fires
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,PREVENTIVE MEASURES FOR ELECTRICAL ACCIDENTS,5,Which type of fire extinguisher is used for electrical fires?,,Water extinguisher,Foam extinguisher,CO₂ extinguisher,Wet chemical extinguisher,C,CO₂ extinguisher
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,PREVENTIVE MEASURES FOR ELECTRICAL ACCIDENTS,6,What class of fire involves flammable liquids like petrol?,,Class A,Class B,Class C,Class D,B,Class B
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,Response to emergencies,1,What is the first step in responding to an emergency?,,Panic,Assess the situation,Run away,Ignore it,B,Assess the situation
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,Response to emergencies,2,What should you do in case of a fire emergency?,,Use the elevator,Run and push others,Use stairs and evacuate calmly,Hide in a room,C,Use stairs and evacuate calmly
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,Response to emergencies,3,What is the purpose of first aid?,,Replace medical treatment,Provide immediate care before professional help arrives,Cure all injuries,Avoid hospital visits,B,Provide immediate care before professional help arrives
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,Response to emergencies,4,What should you do if a person is choking?,,Give water,Perform abdominal thrusts (Heimlich maneuver),Lay them down,Ignore,B,Perform abdominal thrusts (Heimlich maneuver)
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,CONCEPT OF STANDARDS AND ADVANTAQGES OF BIS/ISI,1,What does BIS stand for?,,Bureau of Industrial Safety,Bureau of Indian Standards,Board of International Safety,Bureau of Inspection Services,B,Bureau of Indian Standards
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,CONCEPT OF STANDARDS AND ADVANTAQGES OF BIS/ISI,2,What is the ISI mark?,,A price tag,A quality certification mark,A company logo,A government tax,B,A quality certification mark
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,CONCEPT OF STANDARDS AND ADVANTAQGES OF BIS/ISI,3,Standards help in:,,Increasing confusion,Maintaining uniformity,Reducing safety,Avoiding rules,B,Maintaining uniformity
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,CONCEPT OF STANDARDS AND ADVANTAQGES OF BIS/ISI,4,What is the main purpose of standards?,,To increase cost,"To ensure quality, safety, and reliability",To reduce production,To delay manufacturing,B,"To ensure quality, safety, and reliability"
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,TRADE TOOL SPECIFICATION,1,The material of a tool affects:,,Only appearance,Strength and durability,Cost only,Weight only,B,Strength and durability
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,TRADE TOOL SPECIFICATION,2,Why is tool weight important?,,For decoration,For ease of handling and control,For branding,For storage,B,For ease of handling and control
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,TRADE TOOL SPECIFICATION,3,What does “standard size” of tools ensure?,,Higher cost,Compatibility and uniformity,Poor quality,Limited use,B,Compatibility and uniformity
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,TRADE TOOL SPECIFICATION,4,What is the purpose of insulation in tools?,,Improve appearance,Prevent electric shock,Increase weight,Reduce cost,B,Prevent electric shock
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,NATIONAL ELECTRIC CODE 2011,1,The main objective of NEC 2011 is:,,Increase electricity cost,Ensure safety in electrical installations,Promote sales,Reduce wiring,B,Ensure safety in electrical installations
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,NATIONAL ELECTRIC CODE 2011,2,Which type of installation is covered under NEC 2011?,,Only domestic,Only industrial,"Domestic, commercial, and industrial",Agricultural only,C,"Domestic, commercial, and industrial"
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,NATIONAL ELECTRIC CODE 2011,3,"According to NEC 2011, electrical installations should be:",,Temporary,Unsafe,Properly designed and maintained,Cheap only,C,Properly designed and maintained
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"Description of Files, Hammers, Chisels, Hacksaw Frames and Blades (useful for ITI / trade exams):",1,What is a file used for?,,Cutting wood,Smoothing and shaping metal,Measuring length,Drilling holes,B,Smoothing and shaping metal
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"Description of Files, Hammers, Chisels, Hacksaw Frames and Blades (useful for ITI / trade exams):",3,The teeth of a file are called:,,Grains,Cuts,Edges,Points,B,Cuts
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"Description of Files, Hammers, Chisels, Hacksaw Frames and Blades (useful for ITI / trade exams):",4,Which file has teeth in two directions?,,Single cut file,Double cut file,Smooth file,Round file,B,Double cut file
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"Description of Files, Hammers, Chisels, Hacksaw Frames and Blades (useful for ITI / trade exams):",5,Which hammer is commonly used in fitting work?,,Sledge hammer,Ball peen hammer,Wooden mallet,Claw hammer,B,Ball peen hammer
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"Description of Files, Hammers, Chisels, Hacksaw Frames and Blades (useful for ITI / trade exams):",6,The cutting edge angle of a chisel depends on:,,Color,Material to be cut,Length,Weight,B,Material to be cut
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"Description of Files, Hammers, Chisels, Hacksaw Frames and Blades (useful for ITI / trade exams):",7,The number of teeth per inch in a blade is called:,,Pitch,Gauge,TPI,Size,C,TPI
theory,I,ELECTRICIAN (NQSF LEVEL-4),SEPTEMBER,"Description of Files, Hammers, Chisels, Hacksaw Frames and Blades (useful for ITI / trade exams):",8,Which material is commonly used for hacksaw blades?,,Plastic,Wood,High-speed steel,Rubber,C,High-speed steel
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,"Calipers, Dividers, Surface Plate, and Pliers",1,Calipers are mainly used for:,,Cutting metal,Measuring dimensions,Drilling holes,Filing,B,Measuring dimensions
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,"Calipers, Dividers, Surface Plate, and Pliers",2,Which caliper is used to measure external dimensions?,,Inside caliper,Outside caliper,Odd-leg caliper,Divider,B,Outside caliper
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,"Calipers, Dividers, Surface Plate, and Pliers",3,Dividers are used for:,,Cutting metal,Measuring temperature,Marking circles and arcs,Holding objects,C,Marking circles and arcs
theory,I,ELECTRICIAN (NQSF LEVEL-4),OCTOBER,"Calipers, Dividers, Surface Plate, and Pliers",4,A surface plate is used for:,,Cutting metal,Accurate marking and inspection,Heating,Drilling,B,Accurate marking and inspection
