source,year_level,trade,month,topic,question_no,question_text,question_image,option_a,option_b,option_c,option_d,correct_option,answer_text
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,SAFETY SYMBOLS AND HAZARDS,1,What does this symbol indicate? ☠️,,Flammable substance,Toxic/poisonous substance,Corrosive material,Radioactive material,B,Toxic/poisonous substance
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,SAFETY SYMBOLS AND HAZARDS,2,A symbol showing a flame (🔥) on a container means:,,Explosive,Flammable,Oxidizing,Compressed gas,B,Flammable
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,SAFETY SYMBOLS AND HAZARDS,3,Which hazard symbol warns about chemicals that can burn skin?,,Skull and crossbones,Corrosion symbol (liquid on hand/metal),Flame,Gas cylinder,B,Corrosion symbol
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,SAFETY SYMBOLS AND HAZARDS,4,A gas cylinder symbol indicates:,,Toxic gas,Compressed gas,Explosive gas,Corrosive gas,B,Compressed gas
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,SAFETY SYMBOLS AND HAZARDS,5,What should you do when you see a “biohazard” symbol?,,Ignore it,Wear protective gear,Eat food carefully,Turn off lights,B,Wear protective gear
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,SAFETY SYMBOLS AND HAZARDS,6,Which symbol represents explosive materials?,,Flame,Exploding bomb,Skull,Health hazard,B,Exploding bomb
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PREVENTIVE MEASURES FOR ELECTRICAL ACCIDENTS,1,"Before starting repair work on an electrical circuit, what is the FIRST step?",,Wear gloves,Switch off power supply,Inform supervisor,Check voltage with tester,B,Switch off power supply
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PREVENTIVE MEASURES FOR ELECTRICAL ACCIDENTS,2,Which device is primarily used to prevent electric shock in homes?,,Fuse,MCB,ELCB,Transformer,C,ELCB
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PREVENTIVE MEASURES FOR ELECTRICAL ACCIDENTS,3,A person should NOT touch electrical equipment with:,,Dry hands,Gloves,Wet hands,Shoes,C,Wet hands
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PREVENTIVE MEASURES FOR ELECTRICAL ACCIDENTS,4,What is the safest way to remove a plug from a socket?,,Pull the wire,Pull the plug top,Use a stick,Switch off mains only,B,Pull the plug top
practical,I,ELECTRICIAN (NSQF LEVEL-4),SEPTEMBER-2025,PREVENTIVE MEASURES FOR ELECTRICAL ACCIDENTS,5,Earthing is provided in electrical systems to:,,Increase voltage,Reduce current,Prevent electric shock,Save electricity,C,Prevent electric shock
