month,district,trade_name,year,semester,attendance_pct,subject_1,topic_1,question_1,topic_1_score,subject_2,topic_2,question_2,topic_2_score,subject_3,topic_3,question_3,topic_3_score,teaching_score,practical_score,learning_score,support_score,safety_score,weak_topics,comment_text,sentiment_label,sentiment_score
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,4.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,3.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,4.0,4.2,4.0,3.8,4.1,4.5,,Training was useful but I need more practice on meter reading,neutral,0.0
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,4.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,3.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,4.0,4.2,4.0,3.8,4.1,4.5,,Training was useful but I need more practice on meter reading,neutral,0.0
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,4.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,3.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,4.0,4.0,4.0,4.0,4.0,4.5,,Training was useful but I need more practice on meter reading,neutral,0.0
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,1.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,1.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,1.0,2.5,1.5,2.5,2.0,4.5,Meters and Measurement; Ohm's Law; Series and Parallel Circuits,Training was useful but I need more practice on meter reading,neutral,0.0
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,1.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,1.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,1.0,2.5,1.5,2.5,2.0,4.5,Meters and Measurement; Ohm's Law; Series and Parallel Circuits,Training was useful but I need more practice on meter reading,neutral,0.0
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,4.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,3.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,4.0,4.0,4.0,4.0,4.0,4.5,,Training was useful but I need more practice on meter reading,mixed,-0.001
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,4.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,3.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,4.0,4.0,4.0,4.0,4.0,4.5,,Training was useful but I need more practice on meter reading,mixed,-0.001
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,4.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,3.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,4.0,4.0,4.0,4.0,4.0,4.5,,Training was useful but I need more practice on meter reading,mixed,-0.001
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,3.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,2.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,2.0,2.5,2.0,1.5,2.0,4.5,Meters and Measurement; Series and Parallel Circuits,Training was useful but I need more practice on meter reading,mixed,-0.001
2026-03,Vijayawada,Electrician,1,1,82.5,Trade Theory,Ohm's Law,How well did you understand the concept of Ohm's Law in Trade Theory?,3.0,Trade Practical,Meters and Measurement,How well were you able to perform the practical activity for Meters and Measurement in Trade Practical?,2.0,Workshop Calculation,Series and Parallel Circuits,How well were you able to solve the calculation part of Series and Parallel Circuits in Workshop Calculation?,2.0,2.5,2.0,1.5,2.0,4.5,Meters and Measurement; Series and Parallel Circuits,Training was useful but I need more practice on meter reading,mixed,-0.001
