source,form_id,form_title,parameter_s_no,parameter,basic_fields
iti_form,iti_trainee_feedback_form,ITI TRAINEE FEEDBACK FORM,1,Theory Explanation,Trainee Name; Trade; Batch / Session; Roll Number; Institute Name; Date
iti_form,iti_trainee_feedback_form,ITI TRAINEE FEEDBACK FORM,2,Practical Demonstration,Trainee Name; Trade; Batch / Session; Roll Number; Institute Name; Date
iti_form,iti_trainee_feedback_form,ITI TRAINEE FEEDBACK FORM,3,Ability to clear doubts,Trainee Name; Trade; Batch / Session; Roll Number; Institute Name; Date
iti_form,iti_trainee_feedback_form,ITI TRAINEE FEEDBACK FORM,4,Industry and real world Examples,Trainee Name; Trade; Batch / Session; Roll Number; Institute Name; Date
iti_form,iti_trainee_feedback_form,ITI TRAINEE FEEDBACK FORM,5,Usage of Digital Teaching aids,Trainee Name; Trade; Batch / Session; Roll Number; Institute Name; Date
iti_form,iti_trainee_feedback_form,ITI TRAINEE FEEDBACK FORM,6,Usage of Tools and Equipment,Trainee Name; Trade; Batch / Session; Roll Number; Institute Name; Date
iti_form,iti_trainee_feedback_form,ITI TRAINEE FEEDBACK FORM,7,Instructor Support,Trainee Name; Trade; Batch / Session; Roll Number; Institute Name; Date
iti_form,iti_training_officer_feedback_form,ITI TRAINING OFFICER FEEDBACK FORM,1,Subject Knowledge,Instructor Name; Trade; Batch / Session; Institute Name; Date
iti_form,iti_training_officer_feedback_form,ITI TRAINING OFFICER FEEDBACK FORM,2,Teaching Methodology,Instructor Name; Trade; Batch / Session; Institute Name; Date
iti_form,iti_training_officer_feedback_form,ITI TRAINING OFFICER FEEDBACK FORM,3,Practical Demonstration Skills,Instructor Name; Trade; Batch / Session; Institute Name; Date
iti_form,iti_training_officer_feedback_form,ITI TRAINING OFFICER FEEDBACK FORM,4,Communication Skills,Instructor Name; Trade; Batch / Session; Institute Name; Date
iti_form,iti_training_officer_feedback_form,ITI TRAINING OFFICER FEEDBACK FORM,5,"Use of Teaching Aids (PPT, Models, etc.)",Instructor Name; Trade; Batch / Session; Institute Name; Date
iti_form,iti_training_officer_feedback_form,ITI TRAINING OFFICER FEEDBACK FORM,6,Ability to Clear Doubts,Instructor Name; Trade; Batch / Session; Institute Name; Date
iti_form,iti_training_officer_feedback_form,ITI TRAINING OFFICER FEEDBACK FORM,7,Class Control & Discipline,Instructor Name; Trade; Batch / Session; Institute Name; Date
iti_form,iti_training_officer_feedback_form,ITI TRAINING OFFICER FEEDBACK FORM,8,Time Management,Instructor Name; Trade; Batch / Session; Institute Name; Date
iti_form,iti_training_officer_feedback_form,ITI TRAINING OFFICER FEEDBACK FORM,9,Record Maintenance,Instructor Name; Trade; Batch / Session; Institute Name; Date
iti_form,principal_feedback_form,PRINCIPAL FEEDBACK FORM,1,Training Planning & Scheduling,Name of Training Officer; Institute Name; Trade(s) Supervised; Session / Batch; Date
iti_form,principal_feedback_form,PRINCIPAL FEEDBACK FORM,2,Implementation of Training Programs,Name of Training Officer; Institute Name; Trade(s) Supervised; Session / Batch; Date
iti_form,principal_feedback_form,PRINCIPAL FEEDBACK FORM,3,Monitoring of Classes & Practical Work,Name of Training Officer; Institute Name; Trade(s) Supervised; Session / Batch; Date
iti_form,principal_feedback_form,PRINCIPAL FEEDBACK FORM,4,"Record Maintenance (Attendance, Progress, etc.)",Name of Training Officer; Institute Name; Trade(s) Supervised; Session / Batch; Date
iti_form,principal_feedback_form,PRINCIPAL FEEDBACK FORM,5,Coordination with Instructors,Name of Training Officer; Institute Name; Trade(s) Supervised; Session / Batch; Date
ojt_form,student_feedback_form_in_plant_training,STUDENT FEEDBACK FORM – IN-PLANT TRAINING,1,Learning Opportunities Provided,Student Name; Trade / Course; Institute Name; Industry / Company Name; Training Duration; Supervisor Name (Industry); Date
ojt_form,student_feedback_form_in_plant_training,STUDENT FEEDBACK FORM – IN-PLANT TRAINING,2,Practical Exposure,Student Name; Trade / Course; Institute Name; Industry / Company Name; Training Duration; Supervisor Name (Industry); Date
ojt_form,student_feedback_form_in_plant_training,STUDENT FEEDBACK FORM – IN-PLANT TRAINING,3,Guidance by Industry Supervisor,Student Name; Trade / Course; Institute Name; Industry / Company Name; Training Duration; Supervisor Name (Industry); Date
ojt_form,student_feedback_form_in_plant_training,STUDENT FEEDBACK FORM – IN-PLANT TRAINING,4,Work Environment,Student Name; Trade / Course; Institute Name; Industry / Company Name; Training Duration; Supervisor Name (Industry); Date
ojt_form,student_feedback_form_in_plant_training,STUDENT FEEDBACK FORM – IN-PLANT TRAINING,5,Safety Measures at Workplace,Student Name; Trade / Course; Institute Name; Industry / Company Name; Training Duration; Supervisor Name (Industry); Date
ojt_form,student_feedback_form_in_plant_training,STUDENT FEEDBACK FORM – IN-PLANT TRAINING,6,Skill Improvement,Student Name; Trade / Course; Institute Name; Industry / Company Name; Training Duration; Supervisor Name (Industry); Date
ojt_form,institute_feedback_form_in_plant_training_ato_dto_to,INSTITUTE FEEDBACK FORM – IN-PLANT TRAINING (ATO / DTO / TO),1,Relevance of Industry to Trade,Name of Officer (ATO/DTO/TO); Designation; Institute Name; Student Name; Trade; Industry / Company Name; Training Duration; Date of Visit / Evaluation
ojt_form,institute_feedback_form_in_plant_training_ato_dto_to,INSTITUTE FEEDBACK FORM – IN-PLANT TRAINING (ATO / DTO / TO),2,Training Plan Availability,Name of Officer (ATO/DTO/TO); Designation; Institute Name; Student Name; Trade; Industry / Company Name; Training Duration; Date of Visit / Evaluation
ojt_form,institute_feedback_form_in_plant_training_ato_dto_to,INSTITUTE FEEDBACK FORM – IN-PLANT TRAINING (ATO / DTO / TO),3,Facilities Provided by Industry,Name of Officer (ATO/DTO/TO); Designation; Institute Name; Student Name; Trade; Industry / Company Name; Training Duration; Date of Visit / Evaluation
